split,episode,t,DAM,BM,ref,side,q,delta,limit,cleared,reward
train,11,63,121.5999984741211,141.35000610351562,110.37999725341797,0,779.5999755859375,-30.0,80.37999725341797,1,-157.86905453491025
train,11,64,115.54000091552734,99.9800033569336,108.12000274658203,0,636.0,-6.0,102.12000274658203,1,95.78158447265625
train,11,65,112.5199966430664,106.27999877929688,107.23999786376953,0,604.0,12.0,119.23999786376953,0,37.68958709716797
train,11,66,110.25,124.75,105.0,0,692.5999755859375,18.0,123.0,0,-100.42699645996095
train,11,67,110.8499984741211,104.94000244140625,105.30000305175781,0,711.2999877929688,12.0,117.30000305175781,0,42.037801059265625
train,11,68,113.91000366210938,153.32000732421875,107.7699966430664,0,675.4000244140625,18.0,125.7699966430664,0,-266.17517435546966
train,11,69,120.51000213623047,166.67999267578125,111.69000244140625,0,569.7000122070312,0.0,111.69000244140625,1,-265.8789418008411
train,11,70,133.55999755859375,170.0800018310547,123.0999984741211,0,900.0,-30.0,93.0999984741211,1,-333.18003845214844
train,11,71,183.69000244140625,184.17999267578125,159.0,0,857.2000122070312,-12.0,147.0,1,-8.486196409910917
train,11,72,176.8000030517578,197.0399932861328,167.0,0,765.0,24.0,191.0,0,-154.83592529296877
train,11,73,175.6699981689453,198.24000549316406,160.44000244140625,0,727.2000122070312,-24.0,136.44000244140625,1,-167.76509607788176
train,11,74,175.6699981689453,211.60000610351562,156.00999450683594,0,716.2000122070312,-24.0,132.00999450683594,1,-260.911721274415
train,11,75,183.5,239.9199981689453,152.5500030517578,0,785.2000122070312,-18.0,134.5500030517578,1,-446.9358325708006
train,11,76,171.0,209.24000549316406,143.0,0,645.7000122070312,-18.0,125.0,1,-250.14422019836493
train,11,77,166.75,195.44000244140625,136.17999267578125,0,741.2000122070312,-30.0,106.17999267578125,1,-216.35630165893585
train,11,78,166.75,190.38999938964844,134.39999389648438,0,765.2000122070312,-18.0,116.39999389648438,1,-184.7192782763671
train,11,79,170.27999877929688,197.3800048828125,144.0,0,729.0,0.0,144.0,1,-201.2040444946289
train,11,80,183.69000244140625,195.5,161.49000549316406,0,724.2000122070312,18.0,179.49000549316406,1,-89.14900382202119
train,11,81,183.57000732421875,173.44000244140625,165.0,0,765.4000244140625,-18.0,147.0,1,73.7080597241223
train,11,82,173.08999633789062,200.2899932861328,153.1300048828125,0,716.7000122070312,-18.0,135.1300048828125,1,-198.52588150939906
train,11,83,162.4499969482422,195.92999267578125,140.77999877929688,0,590.2999877929688,18.0,158.77999877929688,1,-200.5839106317144
train,11,84,158.50999450683594,195.92999267578125,133.47999572753906,0,632.2999877929688,-30.0,103.47999572753906,1,-239.76814379333518
train,11,85,138.19000244140625,212.72000122070312,119.0,0,834.2999877929688,30.0,149.0,0,-621.8037707177735
train,11,86,123.80000305175781,163.1199951171875,125.0,0,561.5,30.0,155.0,0,-220.7817554473877
train,11,87,120.0,160.55999755859375,121.5999984741211,0,656.7000122070312,-30.0,91.5999984741211,1,-269.6410089794919
train,11,88,115.0,148.39999389648438,115.54000091552734,0,525.4000244140625,-24.0,91.54000091552734,1,-178.11057620849462
train,11,89,112.5999984741211,144.72000122070312,112.5199966430664,0,412.29998779296875,-30.0,82.5199966430664,1,-134.49226734222378
train,11,90,112.0,127.80000305175781,110.25,0,473.0,-30.0,80.25,1,-77.09901443481445
train,11,91,112.4800033569336,107.80000305175781,110.8499984741211,0,345.0,0.0,110.8499984741211,1,14.421001052856445
train,11,92,117.5,153.00999450683594,113.91000366210938,0,399.70001220703125,-30.0,83.91000366210938,1,-143.93195243957453
train,11,93,124.30000305175781,168.3800048828125,120.51000213623047,0,503.0,24.0,144.51000213623047,0,-221.7224092102051
